score,truth
0.976571881,same
0.765485934,same
0.800819974,same
0.856589487,same
0.880509213,same
0.894257695,same
0.924142666,same
0.920459767,same
0.863273981,same
0.796998232,same
0.746981563,same
0.748973947,same
0.839109286,same
0.763280468,same
0.763778423,same
0.774067822,same
0.880926645,same
0.935810012,same
0.933508208,same
0.864253082,same
0.895568116,same
0.752193464,same
0.913725416,same
0.875386895,same
0.852392453,same
0.821620364,same
0.798031839,same
0.876617705,same
0.858242196,same
0.882493448,same
0.737143678,same
0.807261877,same
0.784493441,same
0.819195801,same
0.839071168,same
0.832193642,same
0.63822786,same
0.939716576,same
0.970755317,same
0.93907914,same
0.358288663,same
0.276526526,same
0.396101002,same
0.343682602,same
0.336025628,same
0.316651662,same
0.517358462,same
0.419411977,same
0.535090061,same
0.888867984,same
0.431234857,same
0.694521814,same
0.814829157,same
0.708464423,same
0.637430098,same
0.748924537,same
0.857546366,same
0.706389136,same
0.639374942,same
0.638005978,same
0.704965499,same
0.774359095,same
0.892981764,same
0.62801663,same
0.759533253,same
0.768182075,same
0.587718817,same
0.920013058,same
0.780386708,same
0.527125671,same
0.545648021,same
0.729483888,same
0.753876235,same
0.805045228,same
0.519450575,same
0.81006023,same
0.636953055,same
0.545871288,same
0.84712036,same
0.841965958,same
0.844863754,same
0.879982854,same
0.896400589,same
0.896191029,same
0.779334923,same
0.868471648,same
0.896391582,same
0.781233469,same
0.538613235,same
0.614219608,same
0.849009516,same
0.759369675,same
0.619787654,same
0.613248697,same
0.460430469,same
0.358716795,same
0.66861462,same
0.725158757,same
0.560023831,same
0.492651299,same
0.727156671,same
0.5707461,same
0.417353453,same
0.700554681,same
0.91577807,same
0.724236873,same
0.925799794,same
0.972803988,same
0.932889017,same
0.897036239,same
0.937708068,same
0.892398372,same
0.442271547,same
0.702763625,same
0.736873606,same
0.635691674,same
0.540534982,same
0.705825936,same
0.169358317,different
0.211554219,different
0.086651457,different
0.292647575,different
0.410588202,different
0.406898542,different
0.52589443,different
0.382193724,different
0.348792871,different
0.437482248,different
0.379302778,different
0.360321825,different
0.264713347,different
0.190161725,different
0.189689775,different
0.375603983,different
0.373067124,different
0.543605667,different
0.384213722,different
0.431762836,different
0.077145496,different
0.010096498,different
0.388868173,different
0.431669468,different
0.332658631,different
0.352653456,different
0.06801743,different
0.04479519,different
0.268503863,different
0.501808919,different
0.404012383,different
0.386587716,different
0.010268877,different
-0.076881201,different
0.167304888,different
-0.005767906,different
0.440800209,different
0.194943425,different
0.328365787,different
0.650072668,different
0.28176891,different
0.423309263,different
0.384881766,different
0.382873079,different
0.201982311,different
0.403254101,different
0.320899554,different
0.250493768,different
0.130270996,different
0.361637226,different
0.218754986,different
0.376485724,different
0.441992784,different
0.233460956,different
0.180269621,different
0.283993395,different
0.237827103,different
0.40237589,different
0.298928321,different
0.212224132,different
0.29128845,different
0.430748857,different
0.436298993,different
0.473508508,different
0.343267722,different
0.168486931,different
0.21323581,different
0.256118213,different
0.187000783,different
0.237033428,different
0.133932325,different
0.234770379,different
0.405934789,different
0.411002357,different
0.523142272,different
0.375899169,different
0.321201173,different
0.416859269,different
0.334669882,different
0.37067189,different
0.275415356,different
0.216948483,different
0.221356483,different
0.310111242,different
0.292707849,different
0.556299069,different
0.401184012,different
0.364638546,different
0.078873922,different
0.004452777,different
0.443760938,different
0.42794634,different
0.358248862,different
0.369438792,different
0.018030803,different
-0.002076389,different
0.233700262,different
0.513814046,different
0.358318805,different
0.340817275,different
0.059234272,different
-0.060818735,different
0.193849501,different
-0.003093523,different
0.450570519,different
0.197252387,different
0.347683708,different
0.626954575,different
0.304722037,different
0.455075925,different
0.396677126,different
0.40138106,different
0.202437796,different
0.367980498,different
0.317467893,different
0.231109147,different
0.159153169,different
0.326316471,different
0.168226232,different
0.308212507,different
0.426983885,different
0.206238941,different
0.177610981,different
0.189774022,different
0.167838632,different
0.29582047,different
0.321983623,different
0.236412748,different
0.318221884,different
0.408709581,different
0.440988444,different
0.441477315,different
0.35274082,different
0.19183888,different
0.218727065,different
0.313786315,different
0.272767249,different
0.319579988,different
0.24248056,different
0.049853425,different
0.261662691,different
0.302403418,different
0.398085222,different
0.222768351,different
0.211587268,different
0.310026618,different
0.126503583,different
0.237728227,different
0.252889936,different
0.193686793,different
0.215271527,different
0.262060538,different
0.332056398,different
0.473017584,different
0.3684667,different
0.192115784,different
-0.013301591,different
-0.010145306,different
0.463393605,different
0.288440114,different
0.244994881,different
0.395373004,different
0.020882039,different
0.032688997,different
0.186647646,different
0.549184819,different
0.284933722,different
0.209130036,different
0.186212666,different
-0.027940255,different
0.277811069,different
0.07334859,different
0.419814954,different
0.181368426,different
0.351282366,different
0.554432276,different
0.30883619,different
0.397170993,different
0.3141124,different
0.335194745,different
0.286451955,different
0.34437805,different
0.321644639,different
0.26663408,different
0.21438006,different
0.289619976,different
0.152235298,different
0.182576884,different
0.393020191,different
0.286171111,different
0.185481875,different
0.15032544,different
0.07239634,different
0.06423501,different
0.398653551,different
0.345861456,different
0.403807116,different
0.338149881,different
0.385150359,different
0.339935901,different
0.31962235,different
0.148641398,different
0.219721296,different
0.37487357,different
0.221078639,different
0.262533272,different
0.231735361,different
0.176081136,different
0.22931501,different
0.266233494,different
0.351887374,different
0.199353137,different
0.262223946,different
0.264017982,different
0.211013215,different
0.292297244,different
0.285309833,different
0.275213083,different
0.292111536,different
0.308195785,different
0.421369446,different
0.465771189,different
0.33759656,different
0.235117087,different
0.10181416,different
0.055196081,different
0.418267195,different
0.330278999,different
0.359281869,different
0.384864431,different
0.140382471,different
0.097644486,different
0.262160773,different
0.486119895,different
0.333311422,different
0.191483472,different
0.234541951,different
0.052408654,different
0.284061085,different
0.077766549,different
0.439454482,different
0.235143919,different
0.415628153,different
0.601490952,different
0.295654837,different
0.379528174,different
0.329071441,different
0.411107263,different
0.409091595,different
0.453537504,different
0.389843007,different
0.333113434,different
0.357287435,different
0.364234514,different
0.180314935,different
0.37723898,different
0.504680793,different
0.318969399,different
0.20666605,different
0.183145285,different
0.21724962,different
0.218619191,different
0.389165594,different
0.331904714,different
0.390026414,different
0.395036798,different
0.358225742,different
0.323107072,different
0.209576465,different
0.136303703,different
0.170065099,different
0.320038298,different
0.58981885,different
0.417951211,different
0.388710555,different
0.424389231,different
0.405407978,different
0.591954481,different
0.464701642,different
0.472489658,different
-0.027728914,different
0.05750356,different
0.68290197,different
0.669515481,different
0.089153863,different
0.096351106,different
0.515547947,different
0.337321315,different
0.477365388,different
0.601710522,different
0.582883983,different
0.261361004,different
0.332726898,different
0.429285528,different
0.237308846,different
0.372262861,different
0.500811119,different
0.465222758,different
-0.093385765,different
0.134679565,different
-0.106524885,different
0.582089358,different
0.68016502,different
0.59542838,different
0.548573713,different
0.432622309,different
0.442793971,different
0.593730894,different
0.365668828,different
0.143244033,different
0.072087424,different
0.084767132,different
0.021367215,different
0.454020793,different
0.45609256,different
0.421273712,different
0.456437492,different
0.437114717,different
0.389960226,different
0.267813555,different
0.4472308,different
0.351261237,different
0.493478064,different
0.149692097,different
0.491902619,different
0.505112583,different
0.438232928,different
0.411921903,different
0.45381891,different
0.410282439,different
0.373765946,different
0.33952184,different
0.373847584,different
0.042294671,different
0.411394794,different
0.055160883,different
0.206728245,different
0.526675784,different
0.40876984,different
0.401534516,different
0.441392897,different
0.376467621,different
0.57576862,different
0.472490338,different
0.462174115,different
0.001044393,different
0.059471053,different
0.68446049,different
0.663953921,different
0.146660723,different
0.063639461,different
0.470389578,different
0.273656683,different
0.436422941,different
0.63308935,different
0.625084714,different
0.277513249,different
0.370665437,different
0.406765719,different
0.275325305,different
0.335855478,different
0.467003315,different
0.424253097,different
-0.114221381,different
0.141772812,different
-0.171634962,different
0.59350057,different
0.655501422,different
0.585813454,different
0.530708869,different
0.450883133,different
0.362304472,different
0.553457759,different
0.389731903,different
0.139011397,different
0.08646454,different
0.001755273,different
0.012191944,different
0.457790016,different
0.440551642,different
0.420038668,different
0.441612723,different
0.409786889,different
0.423033677,different
0.323347659,different
0.525038495,different
0.384308036,different
0.54542589,different
0.204284253,different
0.458929134,different
0.408768079,different
0.379861295,different
0.431601116,different
0.466055708,different
0.423066194,different
0.430595593,different
0.45158248,different
0.427297259,different
0.045664397,different
0.398379344,different
0.026780031,different
0.149438801,different
0.516428116,different
0.383512737,different
0.39810352,different
0.379720818,different
0.348847703,different
0.512268477,different
0.346487381,different
0.415835869,different
0.053561766,different
0.140344099,different
0.668084177,different
0.676007076,different
0.091400093,different
0.117593687,different
0.447982806,different
0.30594591,different
0.423665648,different
0.643110435,different
0.609066869,different
0.159758357,different
0.325033764,different
0.330185282,different
0.103471217,different
0.378056623,different
0.563489505,different
0.357063188,different
0.045864323,different
0.218885008,different
-0.157233248,different
0.668059997,different
0.686357851,different
0.632783236,different
0.620140021,different
0.519015069,different
0.475973941,different
0.669029282,different
0.449590676,different
0.078221536,different
0.061777335,different
0.012958552,different
-0.049050659,different
0.574847071,different
0.527535042,different
0.461363797,different
0.571904602,different
0.490247611,different
0.398062102,different
0.196055029,different
0.382403244,different
0.382662677,different
0.498884528,different
0.148772744,different
0.495049308,different
0.534624046,different
0.462670324,different
0.327381756,different
0.38444892,different
0.329228821,different
0.322992786,different
0.372212632,different
0.348621968,different
-0.043691301,different
0.431789512,different
0.003217469,different
0.116526977,different
0.444620752,different
0.428548538,different
0.234537849,different
0.254018325,different
0.360604169,different
0.416937488,different
0.723922456,different
0.631871687,different
0.575037713,different
0.465950161,different
0.446556263,different
0.276837551,different
0.586837237,different
0.502784029,different
0.342861609,different
0.462610964,different
0.560506645,different
0.344749787,different
0.208871571,different
0.068589672,different
0.347025357,different
0.239490482,different
0.285985518,different
0.167899159,different
0.354424675,different
0.025128813,different
0.56356671,different
0.24023508,different
0.139448914,different
0.205132798,different
0.213748978,different
0.314098175,different
0.206144259,different
0.396989732,different
0.260528918,different
0.28623336,different
0.303264792,different
0.378086834,different
0.431260488,different
0.397444629,different
0.487784293,different
0.32525598,different
0.52252367,different
0.348274283,different
0.617111461,different
0.475532957,different
0.635738509,different
0.300710961,different
0.236220966,different
0.328006559,different
0.064101948,different
0.101845806,different
0.133957034,different
0.451260397,different
0.567937874,different
0.274598669,different
0.416086588,different
0.573643482,different
0.510987884,different
0.52598451,different
0.514675798,different
0.215790139,different
0.220267753,different
0.574272673,different
0.730125706,different
0.583405009,different
0.632873411,different
0.60553694,different
0.584838399,different
0.618443307,different
0.664559633,different
0.58493147,different
0.389006349,different
0.543700493,different
0.101882859,different
0.267675147,different
0.211805601,different
0.573135119,different
0.520982179,different
0.438858203,different
0.481612502,different
0.488620928,different
0.114038339,different
0.22064239,different
0.36361194,different
0.045295189,different
0.205996479,different
0.284693496,different
0.321410697,different
0.167042446,different
0.519456016,different
0.407712556,different
0.517455122,different
0.381753547,different
0.531850954,different
0.319890332,different
0.349417901,different
0.339870776,different
0.198668506,different
0.331579886,different
0.262925918,different
0.521361971,different
0.356478553,different
0.551793955,different
0.407616888,different
0.354939724,different
0.476092916,different
0.211556601,different
0.278144429,different
0.174192682,different
0.635137006,different
0.288800128,different
0.434025656,different
0.39804741,different
0.527704793,different
0.458441613,different
0.448747206,different
0.443385946,different
0.358871139,different
0.36328384,different
0.631501478,different
0.605271236,different
0.56173508,different
0.6457424,different
0.584964572,different
0.560210004,different
0.627573841,different
0.691551016,different
0.589200269,different
0.380405162,different
0.546822429,different
0.167619882,different
0.181133985,different
0.25698993,different
0.607428985,different
0.495341758,different
0.454986435,different
0.44533501,different
0.51626475,different
0.151583279,different
0.217990126,different
0.392901099,different
0.069519202,different
0.196370731,different
0.354995143,different
0.400706903,different
0.314744742,different
0.471004034,different
0.319495901,different
0.461481445,different
0.348557908,different
0.526402585,different
0.484794566,different
0.416851372,different
0.326053945,different
0.322639881,different
0.458224071,different
0.361916512,different
0.507960995,different
0.487747131,different
0.537803216,different
0.393395437,different
0.363876672,different
0.429938568,different
0.159851466,different
0.215650012,different
0.149453603,different
0.515273788,different
0.308213482,different
0.430236509,different
0.441925497,different
0.550404098,different
0.492788602,different
0.490302841,different
0.479611729,different
0.311939536,different
0.289704653,different
0.57836721,different
0.597828372,different
0.550869704,different
0.630306694,different
0.61665473,different
0.621235345,different
0.63758042,different
0.636589117,different
0.588823116,different
0.366768412,different
0.527561088,different
0.118650082,different
0.24263387,different
0.215127683,different
0.540906914,different
0.589465411,different
0.450389835,different
0.543296871,different
0.607070826,different
0.198312053,different
0.180903919,different
0.430643129,different
0.106845874,different
0.274062903,different
0.39267587,different
0.381545587,different
0.256943319,different
0.502806161,different
0.411095412,different
0.519252244,different
0.416704374,different
0.504908454,different
0.394730914,different
0.40417781,different
0.424844294,different
0.245930864,different
0.307682844,different
0.29314976,different
0.462086532,different
0.319549355,different
0.512241898,different
0.337517222,different
0.315052695,different
0.389879875,different
0.196438066,different
0.26708982,different
0.165278214,different
0.539063022,different
0.292859705,different
0.438863804,different
0.390695091,different
0.506706657,different
0.450907721,different
0.440833595,different
0.446774383,different
0.174818136,different
0.223763598,different
0.671224261,different
0.663684711,different
0.638506983,different
0.701780123,different
0.60491658,different
0.498787798,different
0.668629177,different
0.710585175,different
0.540567698,different
0.466933434,different
0.597257044,different
0.196770924,different
0.247452153,different
0.244525669,different
0.517215487,different
0.472070905,different
0.424960569,different
0.361661619,different
0.457051084,different
0.030964669,different
0.369843235,different
0.309569502,different
0.025150121,different
0.071504872,different
0.23976532,different
0.310743708,different
0.211320411,different
0.53104851,different
0.387062843,different
0.497109445,different
0.378454923,different
0.56011049,different
0.430583399,different
0.389647206,different
0.375755945,different
0.256924804,different
0.413805409,different
0.288229446,different
0.54244465,different
0.42364342,different
0.582138358,different
0.336785155,different
0.272619555,different
0.388929574,different
0.220739789,different
0.26789291,different
0.206898743,different
0.638432593,different
0.337862367,different
0.49492317,different
0.47892775,different
0.511321038,different
0.460421312,different
0.401709396,different
0.371749172,different
0.424908356,different
0.411150405,different
0.661450489,different
0.642418518,different
0.580527151,different
0.668591726,different
0.594779601,different
0.542501889,different
0.591745082,different
0.764226532,different
0.533333207,different
0.290609207,different
0.425479053,different
0.224234772,different
0.043803981,different
0.186508145,different
0.656203081,different
0.49120531,different
0.500906212,different
0.48271534,different
0.574686867,different
0.24799899,different
0.306773601,different
0.462204353,different
0.122163629,different
0.280646607,different
0.357326181,different
0.382288098,different
0.251536757,different
0.34817999,different
0.255419227,different
0.388396434,different
0.341768583,different
0.379714957,different
0.365635914,different
0.365013369,different
0.34413966,different
0.29956308,different
0.33042962,different
0.325755161,different
0.607773577,different
0.518723717,different
0.657168182,different
0.444850272,different
0.390828681,different
0.456127401,different
0.052968724,different
0.057273818,different
0.214905387,different
0.361399989,different
0.304348435,different
0.468855123,different
0.342158192,different
0.527066621,different
0.507569008,different
0.461131294,different
0.457325836,different
0.228652856,different
0.225942612,different
0.473154374,different
0.73552579,different
0.678892256,different
0.587369468,different
0.528358636,different
0.583743859,different
0.501767297,different
0.494512852,different
0.531064958,different
0.236106991,different
0.4124759,different
-0.010162224,different
0.307109024,different
0.186199231,different
0.463041465,different
0.461512462,different
0.343063551,different
0.543059859,different
0.484596771,different
0.139237102,different
0.170455346,different
0.336655895,different
0.102545937,different
0.22148951,different
0.273353588,different
0.248041356,different
0.053466806,different
0.40556667,different
0.299691166,different
0.397158736,different
0.319992172,different
0.383017519,different
0.301771586,different
0.357833229,different
0.300282321,different
0.168273833,different
0.277705632,different
0.266825492,different
0.404857073,different
0.295828283,different
0.421680376,different
0.361730829,different
0.362515327,different
0.419591682,different
0.15502116,different
0.246109787,different
0.110900643,different
0.531591256,different
0.296644484,different
0.402033176,different
0.371553792,different
0.361370942,different
0.296875294,different
0.312268385,different
0.262909644,different
0.275819036,different
0.329033317,different
0.634210111,different
0.608090254,different
0.559369899,different
0.61663957,different
0.542379697,different
0.397490117,different
0.661655918,different
0.802775635,different
0.413671638,different
0.423712545,different
0.506164638,different
0.391112854,different
-0.021424559,different
0.340146394,different
0.50149585,different
0.488266832,different
0.589726513,different
0.295557059,different
0.599886065,different
0.119800453,different
0.355497267,different
0.344493479,different
0.044600835,different
0.038909234,different
0.271191673,different
0.362722982,different
0.292049478,different
0.289202831,different
0.166206743,different
0.329235218,different
0.242075704,different
0.392790633,different
0.333496077,different
0.4395351,different
0.422420962,different
0.299291974,different
0.243604131,different
0.315383727,different
0.559797341,different
0.614469394,different
0.640036615,different
0.368370626,different
0.273973349,different
0.360590675,different
0.242521886,different
0.153714183,different
0.336727215,different
0.357481156,different
0.357722626,different
0.371699396,different
0.493335728,different
0.312098377,different
0.298844889,different
0.468174695,different
0.406748087,different
0.498888079,different
0.605261447,different
0.436422645,different
0.146729846,different
0.086899849,different
0.418593881,different
0.424224915,different
0.386303465,different
0.429126173,different
0.081308389,different
0.063777968,different
0.122632042,different
0.259891027,different
0.164750529,different
0.426105881,different
0.208046859,different
0.260372992,different
0.315270361,different
0.203217415,different
0.161217062,different
0.331217326,different
0.041699194,different
0.260439952,different
0.413482424,different
0.478681085,different
0.376450468,different
0.259396793,different
0.063735745,different
0.112315581,different
0.094533242,different
0.056208765,different
0.082990488,different
0.228362853,different
0.158921903,different
0.215398762,different
0.143527295,different
0.062764267,different
0.184740957,different
0.204643729,different
0.089559189,different
0.189549984,different
0.264676141,different
0.221478835,different
0.266242828,different
0.296369146,different
0.329810181,different
0.253169881,different
0.366350994,different
0.288103345,different
0.483695019,different
0.215044819,different
0.353725611,different
0.309200637,different
0.333980159,different
0.247053631,different
0.40657651,different
0.545207663,different
0.474545869,different
0.143404277,different
0.100241132,different
0.406994419,different
0.387500037,different
0.399133546,different
0.489216624,different
0.108638406,different
0.078855413,different
0.159186012,different
0.295683654,different
0.257336173,different
0.390443855,different
0.298798815,different
0.327942239,different
0.344982991,different
0.272033103,different
0.173646958,different
0.438996878,different
0.112986279,different
0.248473327,different
0.32385334,different
0.455727111,different
0.27006452,different
0.232150882,different
0.191808487,different
0.233078024,different
0.160338062,different
0.153277584,different
0.169501096,different
0.367919504,different
0.219183642,different
0.24934099,different
0.260938008,different
0.139953649,different
0.354071609,different
0.245317346,different
0.109195932,different
0.1655833,different
0.332089826,different
0.319090094,different
0.324890115,different
0.407307154,different
0.389448902,different
0.362170678,different
0.311235745,different
0.349091154,different
0.400272522,different
0.223230767,different
0.238304725,different
0.263306644,different
0.331219873,different
0.449209974,different
0.39775189,different
0.641873711,different
0.447878766,different
0.420814573,different
0.396528096,different
0.459936559,different
0.424741307,different
0.428819268,different
0.552211729,different
0.307997342,different
-0.044774795,different
0.184540177,different
0.030683762,different
0.625268052,different
0.558336126,different
0.699585283,different
0.529206164,different
0.511864771,different
0.327722869,different
0.648583229,different
0.462143207,different
0.252665257,different
0.182156211,different
0.185608137,different
0.164863963,different
0.656710656,different
0.554041291,different
0.622984458,different
0.656728336,different
0.611239999,different
0.446976573,different
0.300899323,different
0.510889035,different
0.396940274,different
0.500428658,different
0.277784845,different
0.340628115,different
0.420495765,different
0.295158691,different
0.562187729,different
0.604236558,different
0.588621639,different
0.368735312,different
0.311394504,different
0.286802643,different
0.239839875,different
0.212596249,different
0.252824948,different
0.245535893,different
0.26598584,different
0.309828487,different
0.304523646,different
0.436991177,different
0.410152299,different
0.602198151,different
0.449531464,different
0.364914769,different
0.390466138,different
0.377493757,different
0.385222578,different
0.42007241,different
0.525418455,different
0.317062818,different
0.016928457,different
0.231237513,different
0.071542272,different
0.615649003,different
0.45687224,different
0.688935598,different
0.458938208,different
0.44255182,different
0.299441189,different
0.60999079,different
0.404329268,different
0.306589876,different
0.180834293,different
0.230755288,different
0.25213605,different
0.692776517,different
0.597008358,different
0.616852893,different
0.676809433,different
0.591436696,different
0.417719576,different
0.336121278,different
0.524992969,different
0.387868345,different
0.503386898,different
0.283096622,different
0.363166724,different
0.401546423,different
0.329520061,different
0.484905691,different
0.527842302,different
0.523653003,different
0.359624487,different
0.310788318,different
0.304661039,different
0.270109802,different
0.235732641,different
0.278857229,different
0.235662943,different
0.27239785,different
0.230888758,different
0.342970599,different
0.286274274,different
0.355943587,different
0.275165333,different
0.218000063,different
0.274608835,different
0.310685039,different
0.278603715,different
0.315234146,different
0.450998349,different
0.314920473,different
0.415074975,different
0.36537904,different
0.514466007,different
0.370777743,different
0.399539852,different
0.230641694,different
0.38761245,different
0.59341497,different
0.58054498,different
0.61364538,different
0.667713547,different
0.171449198,different
0.216436668,different
0.235050862,different
0.142345214,different
0.216917898,different
0.369042324,different
0.226452655,different
0.538162111,different
0.351158202,different
0.469162324,different
0.295773577,different
0.244234375,different
0.230244333,different
0.308553314,different
0.330754816,different
0.245129007,different
0.342810238,different
0.116916028,different
0.174084088,different
0.1909761,different
0.406161625,different
0.311700958,different
0.399835257,different
0.233774532,different
0.230490805,different
0.175974531,different
0.368597103,different
0.225334218,different
0.429004918,different
0.322054485,different
0.228153978,different
0.269516192,different
0.281860187,different
0.258046565,different
0.38597022,different
0.540161418,different
0.359853228,different
0.392566434,different
0.360185779,different
0.504448538,different
0.328136333,different
0.359482914,different
0.171083072,different
0.37329945,different
0.578308644,different
0.594382615,different
0.671227209,different
0.743872615,different
0.255354298,different
0.21825919,different
0.204655914,different
0.184228512,different
0.203992264,different
0.262984069,different
0.203103738,different
0.454408502,different
0.288371583,different
0.429217548,different
0.220987403,different
0.234916869,different
0.266495704,different
0.298791606,different
0.279069443,different
0.168923066,different
0.286657713,different
0.168713213,different
0.189835476,different
0.240065002,different
0.426455982,different
0.253848189,different
0.397844814,different
0.209170842,different
0.180962437,different
0.115585077,different
0.357862227,different
0.542634467,different
0.467358132,different
0.329629364,different
0.193547282,different
0.118763333,different
0.270639244,different
0.186155583,different
0.192728407,different
0.56106283,different
0.307030891,different
0.349114838,different
0.460840725,different
0.434174227,different
0.278712287,different
0.530762823,different
0.276956337,different
0.374321215,different
0.364231192,different
0.502287628,different
0.533252702,different
0.287604736,different
0.16528161,different
0.316784468,different
0.377040091,different
0.157900215,different
0.328933386,different
0.284531472,different
0.219252975,different
0.254223262,different
0.303400321,different
0.027169372,different
0.194841838,different
0.566885085,different
0.453827596,different
0.485263033,different
0.387237138,different
0.271173817,different
0.373994798,different
0.251518816,different
0.281591474,different
0.406264204,different
0.41255438,different
0.410490182,different
0.518036893,different
0.407389289,different
0.249365044,different
0.206140947,different
0.506133745,different
0.532361919,different
0.477695691,different
0.429819072,different
0.102185531,different
