ID,Ethylbenzene,"m,p-Xylene",o-Xylene,Propylbenzene,m-Ethyltoluene,C3.alkylbenzene.unid.1,C3.alkylbenzene.unid.2,o-Ethyltoluene,"1,2,4,-Trimethylbenzene","1,2,3,-Trimethylbenzene",C4.alkylbenzene.unid.1,C4.alkylbenzene.unid.2,C4.alkylbenzene.unid.3,C4.alkylbenzene.unid.4,C4.alkylbenzene.unid.5
1,0.373897194,1.518947301,0.509373999,0.170585691,0.635774092,0.255674828,0.345419532,0.26735866,1.022127052,0.210332111,0.101310296,0.176745603,0.120535204,0.158895519,0.295690499
1,0.382114529,1.497533303,0.486931055,0.152664138,0.539856164,0.224120509,0.295942378,0.231775355,0.820262626,0.163414773,0.073820437,0.135219251,0.089003707,0.115449673,0.206482483
1,0.391000592,1.573596658,0.514085301,0.170975278,0.61864115,0.253043482,0.338656529,0.258771325,0.963938524,0.19653322,0.093246974,0.165166466,0.111228824,0.143885152,0.266933479
1,0.359287862,1.093152063,0.469633016,0.143561189,0.538401179,0.212052904,0.288192636,0.222711915,0.82582566,0.163707737,0.075545443,0.135321132,0.090904433,0.117339354,0.212234807
1,0.379582987,1.497683838,0.500426464,0.167322628,0.603172172,0.24337493,0.327790707,0.256769761,0.928163564,0.191784373,0.088554028,0.158061785,0.108268397,0.137832418,0.251989741
1,0.382483782,1.534746112,0.500328935,0.159896509,0.581894395,0.235428769,0.315708513,0.243079493,0.879894401,0.180308876,0.085879369,0.149775802,0.10134289,0.129355833,0.237512769
1,0.393225436,1.537054693,0.519183767,0.169315203,0.617856015,0.245640053,0.334732838,0.26121622,0.950682362,0.193536135,0.08911571,0.159171309,0.108524684,0.138951929,0.255859898
2,0.169728367,0.724393839,0.273945202,0.071117846,0.288782779,0.112210669,0.177196149,0.118706883,0.484857807,0.114818342,0.056877112,0.091825783,0.064115148,0.098109475,0.200966794
2,0.173006405,0.749453481,0.279112582,0.073702839,0.288301213,0.116725478,0.180272638,0.122532707,0.483353587,0.11576671,0.04884225,0.089983133,0.063508721,0.099927019,0.197262759
2,0.158710618,0.684664035,0.248479134,0.062709774,0.244126886,0.09598997,0.148697117,0.102479614,0.400650338,0.091344366,0.044514705,0.07088882,0.053403769,0.078467927,0.154252606
2,0.166829463,0.698352687,0.258603218,0.065685995,0.257370333,0.102570228,0.159935188,0.108848061,0.421148667,0.097285749,0.042576221,0.078271222,0.056559545,0.083908023,0.164834055
2,0.165522793,0.703645104,0.268912454,0.070290988,0.279605285,0.109216013,0.170298435,0.119878588,0.465801555,0.110553055,0.055924523,0.087567948,0.059082979,0.096311465,0.189122579
2,0.164559878,0.693883735,0.254621225,0.065661603,0.248555942,0.097018777,0.152145622,0.102543423,0.404036103,0.094305338,0.045295457,0.074951131,0.055435822,0.081092391,0.157398172
2,0.154482603,0.647203825,0.243937883,0.061000525,0.237558166,0.093286405,0.144389017,0.09707413,0.389268774,0.090931353,0.043618158,0.06990088,0.045683454,0.076101402,0.150093665
3,0.157509627,0.589076501,0.222024807,0.055626397,0.20233447,0.084540623,0.108435996,0.101531309,0.331424281,0.079263966,0.033866136,0.063486355,0.042202653,0.051368844,0.107372743
3,0.161090416,0.606999747,0.231931784,0.059692973,0.213914073,0.08768457,0.110388404,0.103753083,0.353138375,0.084370841,0.034007384,0.065546665,0.043943875,0.055047373,0.110196859
3,0.153536185,0.56930212,0.22685862,0.06187798,0.216602047,0.089536218,0.115415996,0.108958216,0.367629364,0.09112114,0.037262115,0.074410606,0.048597217,0.061211049,0.125134662
3,0.153230401,0.573584847,0.214711331,0.053536796,0.189570768,0.077005888,0.098673448,0.094537169,0.306583907,0.073728875,0.029231783,0.058589361,0.039338073,0.047195253,0.095243711
